GROUP,TEST
HEADING,TEST_ID,SITE_ID,TEST_NAME,TEST_TYPE,TEST_LAT,TEST_LON,TEST_ELEV,TEST_REM
DATA,965,186,CPTU-1,SCPG,37.824806,-122.374042,,"From Pass et al. (1994) - Digitized"

GROUP,SCPG
HEADING,SCPG_ID,TEST_ID,SCPG_CSA,SCPG_RATE,SCPG_CREW,SCPG_METH,SCPG_STAR,SCPG_ENDD,SCPG_PWP,SCGP_REM
DATA,276,965,10,2,Pass,"ASTM D3550-84",,,,

GROUP,SCPT
HEADING,SCPT_ID,SCPG_ID,SCPT_DPTH,SCPT_RES,SCPT_FRES,SCPT_PWP
DATA,80946,276,1.2,16.8829,0.130531,
DATA,80947,276,1.3,15.754,0.0843467,0.172842
DATA,80948,276,1.4,15.754,0.0647093,0.172842
DATA,80949,276,1.5,14.7607,0.059253,0.0848258
DATA,80950,276,1.6,9.97479,0.059253,0.0374252
DATA,80951,276,1.7,9.97479,0.0188882,0.0374378
DATA,80952,276,1.8,8.93624,0.0257956,0.0408363
DATA,80953,276,1.9,9.83893,0.0276121,0.0307036
DATA,80954,276,2,9.83893,0.0276121,0.0307036
DATA,80955,276,2.1,6.94923,0.0279737,0.0849013
DATA,80956,276,2.2,6.94923,0.0148817,0.0849013
DATA,80957,276,2.3,7.44564,0.0254252,0.118767
DATA,80958,276,2.4,6.67785,0.0254252,0.0307696
DATA,80959,276,2.5,6.67785,0.032333,0.0307696
DATA,80960,276,2.6,6.31651,0.0177861,0.0307696
DATA,80961,276,2.7,6.67743,0.0279666,0.0274246
DATA,80962,276,2.8,6.67743,0.0268733,0.0274246
DATA,80963,276,2.9,6.4514,0.0268733,0.0274246
DATA,80964,276,3,6.4514,0.0268726,0.0274246
DATA,80965,276,3.1,6.18019,0.0188699,0.0308452
DATA,80966,276,3.2,6.18019,0.0188699,0.0308452
DATA,80967,276,3.3,4.78051,0.0308676,0.0308452
DATA,80968,276,3.4,5.63809,0.0308676,0.0308766
DATA,80969,276,3.5,4.55431,0.0174106,0.0308766
DATA,80970,276,3.6,4.55431,0.0174106,0.0444615
DATA,80971,276,3.7,5.63759,0.0312268,0.0444615
DATA,80972,276,3.8,4.32782,0.0235887,0.0444615
DATA,80973,276,3.9,4.32782,0.0235887,0.0444615
DATA,80974,276,4,4.32782,0.00831356,0.0546478
DATA,80975,276,4.1,4.32782,0.00831356,0.0546478
DATA,80976,276,4.2,3.96644,0.0155853,0.0546478
DATA,80977,276,4.3,3.15354,0.0388568,0.0546729
DATA,80978,276,4.4,3.15354,0.0744909,0.0546729
DATA,80979,276,4.5,3.4694,0.0828543,0.146117
DATA,80980,276,4.6,3.51426,0.0115795,0.146117
DATA,80981,276,4.7,3.51426,0.0079418,0.0818048
DATA,80982,276,4.8,2.70153,0.0079418,0.0818048
DATA,80983,276,4.9,5.27461,0.0366678,0.25112
DATA,80984,276,5,6.67408,0.0435753,0.0750581
DATA,80985,276,5.1,5.68055,0.0392106,0.0784535
DATA,80986,276,5.2,5.68055,0.0326641,0.061533
DATA,80987,276,5.3,4.77736,0.0246627,0.0818993
DATA,80988,276,5.4,4.77736,0.021389,0.0818993
DATA,80989,276,5.5,3.91936,0.0312058,0.0818993
DATA,80990,276,5.6,3.60317,0.016295,0.0818993
DATA,80991,276,5.7,1.84235,0.024658,0.12255
DATA,80992,276,5.8,2.56454,0.0224741,0.12255
