Depth (m),P0 (kPa),P1 (kPa),P2 (kPa)
0.75,265.7674615,1318.54295,
0.8,269.054,1308.493013,
0.85,272.3405385,1298.443075,
0.9,275.6270769,1288.393138,
0.95,278.8105758,1278.3432,
1,281.8395152,1268.293263,
1.05,284.8684545,1258.243325,
1.1,287.8973939,1248.193388,
1.15,290.9263333,1238.14345,
1.2,293.9552727,1228.093513,
1.25,296.9842121,1218.043575,
1.3,299.9533103,1207.993638,
1.35,302.9074483,1197.9437,
1.4,305.8615862,1187.893763,
1.45,308.8157241,1177.843825,
1.5,311.7698621,1167.793888,
1.55,314.724,1157.74395,
1.6,320.4323333,1149.533,
1.65,326.1406667,1148.678,
1.7,331.849,1150.749333,
1.75,334.669,1152.820667,
1.8,337.489,1154.892,
1.85,340.309,1153.841545,
1.9,338.654,1152.791091,
1.95,336.999,1149.601,
2,335.344,1145.876,
2.05,329.956963,1117.475,
2.1,324.5699259,1087.925556,
2.15,319.1828889,1054.21575,
2.2,313.7958519,1016.97,
2.25,308.4088148,999.3825,
2.3,302.7341111,981.795,
2.35,296.8676296,964.2212857,
2.4,291.0011481,946.7027143,
2.45,285.1346667,929.1841429,
2.5,279.2681852,900.771,
2.55,273.4054286,876.8930909,
2.6,267.5575714,858.2344545,
2.65,261.7097143,836.9842,
2.7,255.8618571,815.4005455,
2.75,250.014,794.7464545,
2.8,246.4720556,778.7633043,
2.85,242.9301111,769.7865652,
2.9,239.3881667,760.8098261,
2.95,235.9862593,751.833087,
3,232.7944074,742.8563478,
3.05,229.6025556,735.6938,
3.1,226.4107037,728.9848,
3.15,223.2188519,722.2758,
3.2,220.027,715.5668,
3.25,218.501,699.9974444,
3.3,216.975,682.213,
3.35,215.449,665.82,
3.4,213.923,649.427,
3.45,224.547,687.9536667,
3.5,234.1635,755.576,
3.55,243.78,824.7394,
3.6,258.442,869.9643,
3.65,256.277,849.1808,
3.7,254.112,827.5623333,
3.75,253.6983333,802.604,
3.8,253.2846667,769.555,
3.85,252.871,722.43025,
3.9,255.4096667,642.5093333,
3.95,257.9483333,566.6936,
4,260.487,424.048,
4.05,252.8760909,472.7955,
4.1,245.2651818,537.512,
4.15,237.5154444,615.162,
4.2,229.731,716.142,
4.25,224.9415,709.692,
4.3,220.152,702.3081538,
4.35,218.93225,691.1889231,
4.4,217.7125,680.0696923,
4.45,216.49275,645.410875,
4.5,215.273,595.059,
4.55,216.931,534.635,
4.6,218.589,467.756,
4.65,223.1886,516.1104444,
4.7,227.7882,568.0515,
4.75,232.3878,634.339,
4.8,236.9874,728.346,
4.85,241.587,762.0093333,
4.9,241.70575,769.0448889,
4.95,241.8245,776.0804444,
5,241.94325,783.116,
5.05,242.062,752.8117895,
5.1,235.8613333,722.5075789,
5.15,229.6606667,692.2033684,
5.2,223.46,658.4576,
5.25,214.6476923,603.233,
5.3,205.8353846,518.448,
5.35,195.8541667,404.9812,
5.4,184.1195833,320.7728333,
5.45,172.385,252.987,
5.5,180.8004167,358.22975,
5.55,189.2158333,467.0853333,
5.6,199.303875,564.707,
5.65,210.507,644.252,
5.7,206.477,562.6524,
5.75,202.447,476.53325,
5.8,198.417,393.6975714,20.78209459
5.85,194.387,336.704,23.91756757
5.9,194.3123333,393.3397143,27.05304054
5.95,194.2376667,471.0035,30.18851351
6,194.163,521.9404444,33.32398649
