Depth (m),A (kPa),B (kPa),C (kPa)
0.75,304.9,1382.5,NaN
0.8,307.6,1372.5,NaN
0.85,310.2,1362.4,NaN
0.9,312.9,1352.4,NaN
0.95,315.4,1342.3,NaN
1.0,317.8,1332.3,NaN
1.05,320.2,1322.2,NaN
1.1,322.6,1312.2,NaN
1.15,325.0,1302.1,NaN
1.2,327.4,1292.1,NaN
1.25,329.8,1282.0,NaN
1.3,332.2,1272.0,NaN
1.35,334.5,1261.9,NaN
1.4,336.9,1251.9,NaN
1.45,339.2,1241.8,NaN
1.5,341.5,1231.8,NaN
1.55,343.9,1221.7,NaN
1.6,348.9,1213.5,NaN
1.65,354.3,1212.7,NaN
1.7,359.8,1214.7,NaN
1.75,362.6,1216.8,NaN
1.8,365.4,1218.9,NaN
1.85,368.0,1217.8,NaN
1.9,366.4,1216.8,NaN
1.95,364.7,1213.6,NaN
2.0,362.9,1209.9,NaN
2.05,356.5,1181.5,NaN
2.1,349.9,1151.9,NaN
2.15,343.2,1118.2,NaN
2.2,336.3,1081.0,NaN
2.25,330.3,1063.4,NaN
2.3,324.1,1045.8,NaN
2.35,317.6,1028.2,NaN
2.4,311.2,1010.7,NaN
2.45,304.8,993.2,NaN
2.5,297.9,964.8,NaN
2.55,291.1,940.9,NaN
2.6,284.7,922.2,NaN
2.65,278.1,901.0,NaN
2.7,271.5,879.4,NaN
2.75,265.0,858.7,NaN
2.8,260.8,842.8,NaN
2.85,257.0,833.8,NaN
2.9,253.2,824.8,NaN
2.95,249.6,815.8,NaN
3.0,246.1,806.9,NaN
3.05,242.7,799.7,NaN
3.1,239.3,793.0,NaN
3.15,236.0,786.3,NaN
3.2,232.6,779.6,NaN
3.25,230.4,764.0,NaN
3.3,228.1,746.2,NaN
3.35,225.9,729.8,NaN
3.4,223.7,713.4,NaN
3.45,235.6,752.0,NaN
3.5,248.0,819.6,NaN
3.55,260.4,888.7,NaN
3.6,276.6,934.0,NaN
3.65,273.5,913.2,NaN
3.7,270.4,891.6,NaN
3.75,268.8,866.6,NaN
3.8,266.9,833.6,NaN
3.85,264.2,786.4,NaN
3.9,262.8,706.5,NaN
3.95,261.7,630.7,NaN
4.0,257.3,488.0,NaN
4.05,252.3,536.8,NaN
4.1,248.2,601.5,NaN
4.15,244.5,679.2,NaN
4.2,241.9,780.1,NaN
