GROUP,TEST
HEADING,TEST_ID,SITE_ID,TEST_NAME,TEST_TYPE,TEST_LAT,TEST_LON,TEST_ELEV,TEST_REM,TEST_REVW
DATA,958,186,"Gibbs B-1 vs",GINV,37.82505,-122.37407,,"From Gibbs et al. (1992) USGS Report",2

GROUP,GINV
HEADING,GINV_ID,TEST_ID,GINV_TYPE,GINV_CONF,GINV_CREW,GINV_STAR,GINV_ENDD
DATA,23,958,Downhole,,"Gibbs et al.",,

GROUP,GIND
HEADING,GIND_ID,GINV_ID,GIND_DPTH,GIND_VS,GIND_VP
DATA,2403,23,0,252,339
DATA,2404,23,2.5,252,339
DATA,2405,23,2.5,134,1562
DATA,2406,23,8,134,1562
DATA,2407,23,8,170,1562
DATA,2408,23,13.3,170,1562
DATA,2409,23,13.3,176,1236
DATA,2410,23,28.8,176,1236
DATA,2411,23,28.8,317,1365
DATA,2412,23,41.2,317,1365
DATA,2413,23,41.2,267,1583
DATA,2414,23,75,267,1583
DATA,2415,23,75,386,1822
DATA,2416,23,88,386,1822
DATA,2417,23,88,645,2187
DATA,2418,23,100,645,2187

GROUP,WATR
HEADING,WATR_ID,TEST_ID,WATR_DPTH,WATR_DATE,WATR_REM
DATA,500,958,2.5,"11/19/90, 12:00 AM","Water depth P-wave velocity"

